b,S,E,e_over_s,b_defer,peak_reduction_mw,overall_base_max_mw,overall_base_scenario,overall_base_t,overall_ess_max_mw,overall_ess_scenario,overall_ess_t,summer_peak_base_max_mw,summer_peak_base_t,summer_peak_ess_max_mw,summer_peak_ess_t,winter_peak_base_max_mw,winter_peak_base_t,winter_peak_ess_max_mw,winter_peak_ess_t,j_net,cost,marginal_b_defer_won_per_mva,marginal_cost_won_per_mva,marginal_j_net_won_per_mva
32,0.05,0.119,2.38,4097595.299017886,0.05385747650590922,8.79926439945775,summer_peak,18,8.74540692295184,summer_peak,18,8.79926439945775,18,8.74540692295184,18,8.548599525155264,10,8.494866585034828,10,1728895.1375237536,2984322.4218012,,,
32,0.1,0.238,2.38,7226327.046464125,0.09498052167871229,8.79926439945775,summer_peak,18,8.704283877779037,summer_peak,19,8.79926439945775,18,8.704283877779037,19,8.548599525155264,10,8.44121105763985,10,2477806.6304576173,5968644.8436024,62574634.948924765,59686448.436024,14978229.858677275
32,0.176,0.419,2.38,11438934.276826844,0.15034967806959898,8.79926439945775,summer_peak,18,8.64891472138815,summer_peak,19,8.79926439945775,18,8.64891472138815,19,8.548599525155264,10,8.359802160722234,10,3051803.4003842194,10504814.924740223,55429042.504772626,59686448.436023995,7552589.077981607
32,0.25,0.595,2.38,14163319.851952344,0.18615812702514312,8.79926439945775,summer_peak,18,8.613106272432606,summer_peak,16,8.79926439945775,18,8.613106272432606,16,8.548599525155264,10,8.284039280824329,9,2208677.846620476,14921612.109005997,36816021.28547973,59686448.43602396,-11393588.56437491
32,0.5,1.19,2.38,22101108.873536132,0.2904898763907475,8.79926439945775,summer_peak,18,8.508774523067002,summer_peak,15,8.79926439945775,18,8.508774523067002,15,8.548599525155264,10,8.217286361085868,13,-2085626.2060764618,29843224.218011994,31751156.086335152,59686448.43602399,-17177216.21078775
32,0.75,1.785,2.38,29013163.75241633,0.3813397056396415,8.79926439945775,summer_peak,18,8.417924693818108,summer_peak,18,8.79926439945775,18,8.417924693818108,18,8.548599525155264,10,8.161561370097251,13,-7682596.134812713,44764836.327018,27648219.515520796,59686448.436024025,-22387879.714945003
32,1.0,2.38,2.38,35372406.227549456,0.46492354621119597,8.79926439945775,summer_peak,18,8.334340853246553,summer_peak,21,8.79926439945775,18,8.334340853246553,21,8.548599525155264,10,8.107875885660404,13,-14109010.693825424,59686448.43602399,25436969.9005325,59686448.43602395,-25705658.236050844
32,1.5,3.57,2.38,39601368.537739396,0.5205076685182526,8.79926439945775,summer_peak,18,8.278756730939497,summer_peak,23,8.79926439945775,18,8.278756730939497,23,8.548599525155264,10,8.007973876671358,10,-36281157.47199231,89529672.654036,8457924.62037988,59686448.436024025,-44344293.556333765
32,2.0,4.76,2.38,43888478.00810341,0.5768560584223827,8.79926439945775,summer_peak,18,8.222408341035367,summer_peak,23,8.79926439945775,18,8.222408341035367,23,8.548599525155264,10,7.958178247294857,23,-59503592.7075572,119372896.87204798,8574218.940728024,59686448.43602395,-46444870.47112979
32,2.4,5.712,2.38,47313457.60959951,0.6218728902371318,8.79926439945775,summer_peak,18,8.177391509220618,summer_peak,23,8.79926439945775,18,8.177391509220618,23,8.548599525155264,10,7.927954268975776,23,-78887964.82168311,143247476.24645758,8562449.003740253,59686448.43602402,-48460930.285314776
